feature,class,grid_value_scaled,pdp_mean_proba
citric acid,high,1.0505988597869873,0.1515004187822342
citric acid,high,1.2377732992172241,0.14911583065986633
citric acid,high,1.424947738647461,0.14819619059562683
citric acid,high,1.6121221780776978,0.1480722725391388
citric acid,high,1.7992966175079346,0.1537080556154251
citric acid,high,1.9864710569381714,0.15887722373008728
citric acid,high,2.173645496368408,0.15671272575855255
residual sugar,low,-0.9284214973449707,0.037607453763484955
residual sugar,low,-0.6270038485527039,0.03437546640634537
residual sugar,low,-0.3255862295627594,0.03414429724216461
residual sugar,low,-0.02416861616075039,0.03737316653132439
residual sugar,low,0.2772490084171295,0.037723153829574585
residual sugar,low,0.578666627407074,0.03727460652589798
residual sugar,low,0.8800842761993408,0.04000259190797806
residual sugar,low,1.181501865386963,0.03807913511991501
residual sugar,low,1.4829195737838745,0.039947040379047394
residual sugar,low,1.7843371629714966,0.041159506887197495
residual sugar,low,2.085754871368408,0.039305709302425385
residual sugar,low,2.3871724605560303,0.03744445741176605
residual sugar,low,2.6885900497436523,0.036594290286302567
residual sugar,low,2.9900076389312744,0.0367923304438591
residual sugar,low,3.2914252281188965,0.035649754106998444
residual sugar,low,3.5928428173065186,0.035599611699581146
residual sugar,low,3.8942606449127197,0.03485722839832306
residual sugar,low,4.195678234100342,0.03357989341020584
residual sugar,low,4.497095584869385,0.03501352295279503
residual sugar,low,4.798513412475586,0.036077890545129776
residual sugar,medium,-0.9284214973449707,0.8330224752426147
residual sugar,medium,-0.6270038485527039,0.8216537237167358
residual sugar,medium,-0.3255862295627594,0.813980221748352
residual sugar,medium,-0.02416861616075039,0.8105059862136841
residual sugar,medium,0.2772490084171295,0.8145940899848938
residual sugar,medium,0.578666627407074,0.8004347085952759
residual sugar,medium,0.8800842761993408,0.7872605323791504
residual sugar,medium,1.181501865386963,0.7814103960990906
residual sugar,medium,1.4829195737838745,0.7667385339736938
residual sugar,medium,1.7843371629714966,0.7611859440803528
residual sugar,medium,2.085754871368408,0.758489191532135
residual sugar,medium,2.3871724605560303,0.7578371167182922
residual sugar,medium,2.6885900497436523,0.7590624690055847
residual sugar,medium,2.9900076389312744,0.7527191042900085
residual sugar,medium,3.2914252281188965,0.7497614622116089
residual sugar,medium,3.5928428173065186,0.7401957511901855
residual sugar,medium,3.8942606449127197,0.7300761938095093
residual sugar,medium,4.195678234100342,0.721975564956665
residual sugar,medium,4.497095584869385,0.7152002453804016
residual sugar,medium,4.798513412475586,0.7099766731262207
residual sugar,high,-0.9284214973449707,0.12937001883983612
residual sugar,high,-0.6270038485527039,0.14397075772285461
residual sugar,high,-0.3255862295627594,0.15187551081180573
residual sugar,high,-0.02416861616075039,0.1521209180355072
residual sugar,high,0.2772490084171295,0.14768274128437042
residual sugar,high,0.578666627407074,0.1622907817363739
residual sugar,high,0.8800842761993408,0.17273692786693573
residual sugar,high,1.181501865386963,0.18051043152809143
residual sugar,high,1.4829195737838745,0.19331443309783936
residual sugar,high,1.7843371629714966,0.19765456020832062
residual sugar,high,2.085754871368408,0.2022051066160202
residual sugar,high,2.3871724605560303,0.2047184407711029
residual sugar,high,2.6885900497436523,0.20434319972991943
residual sugar,high,2.9900076389312744,0.21048852801322937
residual sugar,high,3.2914252281188965,0.2145887315273285
residual sugar,high,3.5928428173065186,0.2242046594619751
residual sugar,high,3.8942606449127197,0.23506657779216766
residual sugar,high,4.195678234100342,0.2444445639848709
residual sugar,high,4.497095584869385,0.24978625774383545
residual sugar,high,4.798513412475586,0.25394541025161743
chlorides,low,-1.1191041469573975,0.03703071549534798
chlorides,low,-0.6977095007896423,0.038716986775398254
chlorides,low,-0.2763148844242096,0.04029156267642975
chlorides,low,0.14507976174354553,0.039401523768901825
chlorides,low,0.5664743781089783,0.0441289059817791
chlorides,low,0.9878690242767334,0.047146398574113846
chlorides,low,1.4092637300491333,0.04290277883410454
chlorides,low,1.8306583166122437,0.039118461310863495
chlorides,low,2.2520530223846436,0.03529495373368263
chlorides,low,2.673447608947754,0.035020627081394196
chlorides,low,3.0948421955108643,0.0320250540971756
chlorides,low,3.5162367820739746,0.028652776032686234
chlorides,low,3.937631607055664,0.02835255302488804
chlorides,low,4.359025955200195,0.02672143653035164
chlorides,low,4.780420780181885,0.022933151572942734
chlorides,low,5.201815605163574,0.02221495285630226
chlorides,low,5.6232099533081055,0.020405124872922897
chlorides,low,6.044604778289795,0.020574117079377174
chlorides,low,6.465999126434326,0.020187562331557274
chlorides,low,6.887393951416016,0.01983783207833767
chlorides,medium,-1.1191041469573975,0.7879014015197754
chlorides,medium,-0.6977095007896423,0.7886567115783691
chlorides,medium,-0.2763148844242096,0.8018535375595093
chlorides,medium,0.14507976174354553,0.8173269033432007
chlorides,medium,0.5664743781089783,0.8253637552261353
chlorides,medium,0.9878690242767334,0.8332346677780151
